atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
96652,262,4,6,Allan,21,6,6.57,-1.38,0.16,2.68,-0.3
103684,293,3,6,Kaíque Rocha,21,2,4.13,0.0,5.54,4.8,0.0
83528,262,3,7,Léo Pereira,21,18,14.09,0.89,5.58,5.29,6.7
98706,282,4,7,Pedrinho,21,6,4.12,0.55,3.11,1.07,3.6
50347,282,5,6,Alan Kardec,21,7,4.17,-0.05,0.38,1.26,0.0
101314,265,5,7,Ademir,21,18,6.77,-0.84,3.5,3.89,4.0
104085,282,3,7,Bruno Fuchs,21,7,4.33,0.0,2.62,2.53,0.0
104383,282,1,6,Matheus Mendes,21,1,3.42,0.0,2.77,7.0,0.0
69102,282,5,6,Vargas,21,12,4.1,0.0,1.43,1.24,0.0
70360,280,5,6,Eduardo Sasha,21,18,11.09,0.0,1.96,5.21,0.0
123360,265,4,5,Cauly,21,20,7.11,-2.03,1.01,4.11,0.7
87009,284,4,6,Nathan,21,12,4.94,0.0,2.42,2.19,0.0
61106,265,2,6,Cicinho,21,9,3.77,0.0,0.15,3.63,0.0
91772,265,3,6,David Duarte,21,8,5.2,0.0,2.13,3.6,0.0
100079,282,4,6,Zaracho,21,13,6.85,0.0,2.33,3.53,0.0
85931,282,4,5,Hyoran,21,12,5.52,0.0,1.1,3.3,0.0
90449,265,4,7,Rezende,21,18,7.52,-1.5,3.96,3.97,4.6
98484,265,3,7,Kanu,21,18,5.5,-0.51,1.51,3.12,1.4
97899,265,2,6,Matheus Bahia,21,8,4.83,0.0,4.3,4.12,0.0
87747,265,4,3,Yago Felipe,21,12,3.9,0.02,0.3,0.95,-0.1
105373,265,3,6,Gabriel Xavier,21,9,4.98,0.0,6.26,4.08,0.0
69051,265,1,6,Danilo Fernandes,21,1,4.64,0.0,2.9,7.0,0.0
115674,282,1,6,Gabriel Delfim,21,0,2.0,0.0,1.61,0.0,0.0
81121,265,4,6,Lucas Mugni,21,5,3.48,0.0,4.14,1.52,0.0
91664,263,3,7,Adryelson,21,20,8.33,0.41,6.79,4.86,8.3
112367,294,3,6,Thalisson Gabriel,21,0,1.0,0.0,1.5,0.0,0.0
73318,327,2,7,Daniel Borges,21,7,4.57,0.21,0.38,1.53,0.0
101201,265,5,6,Vitor Jacaré,21,12,9.67,-0.1,0.36,3.99,-0.1
68708,263,4,7,Eduardo,21,18,12.27,-0.41,1.16,4.71,0.9
93791,266,4,6,Daniel,21,9,2.83,0.43,2.28,1.19,2.5
104783,265,4,6,Acevedo,21,16,5.35,0.0,3.71,3.05,0.0
90590,265,1,6,Mateus Claus,21,1,1.95,0.0,1.45,-1.0,0.0
102907,265,1,6,Matheus Teixeira,21,0,2.0,0.0,1.61,0.0,0.0
74061,263,1,6,Gatito Fernández,21,0,8.0,0.0,2.24,0.0,0.0
109199,263,2,6,DG,21,0,2.0,0.0,1.61,0.0,0.0
86686,263,4,7,Tchê Tchê,21,20,7.51,0.0,1.21,2.47,0.0
107796,265,4,6,Diego Rosa,21,7,2.12,0.0,1.37,1.09,0.0
71898,263,4,6,Gabriel Pires,21,4,6.41,0.8,8.44,6.08,10.6
93790,263,4,7,Marlon Freitas,21,20,5.96,0.43,4.69,2.71,5.6
79113,263,3,7,Víctor Cuesta,21,19,10.92,0.13,4.69,5.94,5.5
115537,265,3,6,Marcos Victor,21,0,4.0,0.0,1.82,0.0,0.0
87808,263,3,6,Philipe Sampaio,21,8,3.33,0.0,-0.56,2.73,0.0
108946,263,5,7,Victor Sá,21,17,9.45,1.16,8.38,5.29,10.4
94931,263,4,6,Lucas Fernandes,21,12,3.68,0.0,5.48,1.32,0.0
91260,263,1,7,Lucas Perri,21,21,13.43,0.5,8.9,6.81,11.0
109668,263,2,7,Hugo,21,10,8.16,0.97,10.26,7.81,12.9
116450,265,2,5,André,21,3,2.08,0.0,-3.44,0.43,0.0
106704,263,5,6,Carlos Alberto,21,6,3.28,0.0,1.19,3.38,0.0
86777,263,4,6,Danilo Barbosa,21,13,4.66,-0.03,0.78,1.79,0.5
110727,282,2,7,Rubens,21,13,11.45,-0.08,4.26,5.99,5.0
105049,263,5,7,Luis Henrique,21,19,6.29,1.09,6.52,3.12,8.0
101727,262,2,6,Matheuzinho,21,0,6.0,0.0,2.03,0.0,0.0
84674,280,4,6,Lucas Evangelista,21,18,8.95,0.0,4.03,5.42,0.0
94067,280,4,7,Matheus Fernandes,21,19,12.34,-0.87,2.78,5.57,3.0
88423,280,2,2,Aderlan,21,13,8.91,0.77,4.91,4.47,5.9
93882,280,1,7,Cleiton,21,16,7.06,1.91,7.29,4.45,9.0
70171,263,2,5,Rafael,21,9,6.7,0.0,6.63,5.16,0.0
104079,263,1,6,João Fernando,21,0,2.0,0.0,1.61,0.0,0.0
109114,263,5,6,Matheus Nascimento,21,4,3.72,0.0,-0.17,2.58,0.0
97867,280,3,7,Léo Ortiz,21,5,8.02,1.15,5.79,4.86,7.1
101960,280,5,2,Vitinho,21,16,6.2,-0.31,0.22,3.81,-0.3
106299,280,3,6,Realpe,21,7,2.76,0.91,5.25,2.59,6.4
110962,263,4,6,Kayque,21,2,4.08,0.0,4.4,2.25,0.0
111713,263,3,6,Lucas Mezenga,21,0,2.0,0.0,1.61,0.0,0.0
103695,280,4,7,Jadsom Silva,21,15,2.32,0.0,0.48,1.41,0.0
106160,280,1,6,Lucão,21,5,1.74,0.0,3.84,0.6,0.0
107172,263,4,5,Patrick de Paula,21,0,7.0,0.0,2.13,0.0,0.0
106835,280,3,7,Luan Patrick,21,12,4.59,0.0,-0.99,4.52,0.0
107744,267,4,7,Praxedes,21,5,3.81,0.15,2.43,1.96,2.7
113558,280,4,2,Bruninho,21,12,8.23,0.0,0.93,3.17,0.0
110715,280,2,2,Andrés Hurtado,21,14,4.87,0.0,-0.3,3.5,0.0
111333,280,5,2,Sorriso,21,16,4.88,0.03,2.34,3.34,2.5
122394,280,4,7,Gustavinho,21,14,2.67,-0.01,0.85,1.64,0.6
92496,280,4,5,Raul,21,0,5.0,0.0,1.92,0.0,0.0
118844,294,5,6,Kaio César,21,17,3.76,0.0,0.44,1.9,0.0
103700,264,3,7,Bruno Méndez,21,15,2.53,-0.37,-0.35,1.72,-1.0
88323,264,5,6,Ángel Romero,21,6,3.24,-0.25,2.81,2.1,3.2
38229,264,2,7,Fábio Santos,21,12,4.36,0.0,0.89,3.13,0.0
102598,280,5,2,Helinho,21,10,5.58,-0.44,2.52,4.13,2.8
104017,280,1,6,Maycon,21,0,3.0,0.0,1.71,0.0,0.0
103295,280,4,6,Eric Ramires,21,14,3.4,0.0,1.46,2.62,0.0
101715,280,5,6,Alerrandro,21,8,3.07,-0.12,0.54,1.48,0.2
51548,264,4,6,Giuliano,21,14,2.41,-0.73,0.16,0.98,-0.3
68923,264,3,7,Gil,21,17,6.61,0.0,8.62,2.94,0.0
107950,264,4,6,Fausto Vera,21,13,6.85,0.0,1.13,2.47,0.0
114888,280,4,6,Luciano,21,0,2.0,0.0,1.61,0.0,0.0
110909,280,2,6,Guilherme Lopes,21,7,3.49,0.0,4.65,3.77,0.0
97450,264,5,6,Gustavo Mosquito,21,2,4.5,-0.72,2.96,6.2,3.4
94154,264,4,7,Maycon,21,17,5.98,0.98,7.42,2.99,9.2
104588,280,1,6,Fabrício,21,0,1.0,0.0,1.5,0.0,0.0
122755,280,3,6,Lucas Cunha,21,0,4.0,0.0,1.82,0.0,0.0
118175,280,4,5,Nathan Camargo,21,1,1.53,0.0,1.63,0.5,0.0
103575,264,3,2,Caetano,21,8,2.55,-0.35,-0.29,2.36,-0.9
104153,264,4,6,Ruan,21,11,3.81,-0.01,1.35,4.78,1.2
104084,264,1,6,Carlos Miguel,21,0,2.0,0.0,1.61,0.0,0.0
42500,264,2,5,Fagner,21,16,7.73,0.0,1.02,3.86,0.0
107179,264,1,6,Matheus Donelli,21,0,2.0,0.0,1.61,0.0,0.0
105531,264,2,6,Matheus Bidu,21,14,6.14,-0.11,3.54,3.3,4.1
85004,265,1,7,Marcos Felipe,21,20,7.1,-1.95,-0.28,4.16,-1.0
73620,284,3,7,Bruno Alves,21,18,5.65,0.0,1.12,1.86,0.0
94509,275,4,7,Raphael Veiga,21,15,19.21,0.33,10.29,8.23,12.9
117314,280,5,7,Thiago Borbas,21,18,7.88,1.21,7.3,4.28,9.0
68942,283,3,7,Luciano Castán,21,20,5.83,-0.42,0.45,2.8,0.0
79631,266,5,7,Cano,21,19,15.32,0.0,9.28,5.07,0.0
107111,275,4,6,Richard Ríos,21,21,5.32,-1.21,1.81,2.71,1.8
69034,264,4,5,Paulinho,21,4,4.5,0.0,3.64,2.1,0.0
93236,264,2,5,Rafael Ramos,21,0,4.0,0.0,1.82,0.0,0.0
85315,264,4,6,Cantillo,21,1,8.32,0.0,3.57,8.9,0.0
105585,264,4,6,Roni,21,11,2.03,0.0,-0.58,1.3,0.0
117849,264,5,6,Giovane,21,2,2.14,0.0,1.48,1.4,0.0
99412,290,4,7,Morelli,21,17,6.16,0.37,3.32,3.24,3.8
95556,1371,4,3,Raniele,21,19,12.08,-0.43,2.85,5.17,3.1
94845,282,4,3,Battaglia,21,18,4.69,0.28,2.07,1.55,2.2
116825,280,2,6,Jhonny,21,0,1.0,0.0,1.5,0.0,0.0
90232,276,2,6,Raí Ramos,21,5,4.51,0.0,-6.84,3.16,0.0
115246,275,3,6,Naves,21,4,1.81,0.0,-1.64,3.65,0.0
113663,275,5,6,Kevin,21,0,1.0,0.0,1.5,0.0,0.0
115870,280,2,6,Jonathan,21,0,1.0,0.0,1.5,0.0,0.0
115915,266,5,6,Lelê,21,18,9.24,0.33,1.59,3.16,1.5
69325,285,4,7,Aránguiz,21,9,7.0,0.08,1.6,1.2,1.6
73781,290,5,7,Guilherme Marques,21,15,6.62,2.42,11.61,4.51,14.7
124158,280,5,6,Everton,21,0,1.0,0.0,1.5,0.0,0.0
106977,356,3,6,Bernardo Schappo,21,0,4.0,0.0,1.82,0.0,0.0
