atleta_id;atleta_apelido;posicao_id;clube_id;clube_nome
94853;Eduardo Coudet;6;285;Internacional
94931;Lucas Fernandes;4;263;Botafogo
94968;Juninho Capixaba;2;280;Bragantino
95127;Nicolas;2;327;América-M
95220;Jefferson;2;267;Vasco
95466;Igor Viníciu;2;276;São Paul
95556;Raniele;4;1371;Cuiab�
95638;Marcelo Benevenuto;3;356;Fortaleza
95662;Lucas Kal;4;327;América-M
95799;Artur;5;275;Palmeiras
95878;Tobias Figueiredo;3;356;Fortaleza
96089;Machado;4;283;Cruzeiro
96340;Lima;4;266;Fluminense
96610;Matheus Pereira;4;283;Cruzeiro
96652;Allan;4;262;Flamengo
96678;Bustos;2;285;Internacional
96725;Saravia;2;282;Atlético-M
96754;Atuesta;4;275;Palmeiras
96966;Arthur Gomes;5;283;Cruzeiro
97080;Yony Gonzále;5;266;Fluminense
97133;Dudu;2;356;Fortaleza
97145;Villasanti;4;284;Grêmi
97321;Alesson;5;290;Goiá
97450;Gustavo Mosquito;5;264;Corinthians
97453;Jori;1;327;América-M
97468;Marça;2;263;Botafogo
97653;Murilo;3;275;Palmeiras
97768;Reynaldo;3;294;Coritiba
97867;Léo Orti;3;280;Bragantino
97899;Matheus Bahia;2;265;Bahia
97900;Vitã;3;285;Internacional
97908;Luís Oyam;4;290;Goiá
97993;Jhonata Varela;4;284;Grêmi
98022;Erick;4;293;Athletico-PR
98433;Sebastián Ferreir;5;267;Vasco
98484;Kanu;3;265;Bahia
98496;Vinícius Barret;1;1371;Cuiab�
98517;Jean Lucas;4;277;Santos
98605;Di Placido;2;263;Botafogo
98619;Kuscevic;3;294;Coritiba
98706;Pedrinho;4;282;Atlético-M
98723;Carabajal;4;267;Vasco
98909;Cuello;5;293;Athletico-PR
98976;Gabriel;4;276;São Paul
99119;Lucas Braga;5;277;Santos
99198;Vegetti;5;267;Vasco
99213;Puma Rodrígue;2;267;Vasco
99214;Rodrigo Fernánde;4;277;Santos
99267;Pochettino;4;356;Fortaleza
99412;Morelli;4;290;Goiá
99552;Rossi;1;262;Flamengo
99588;Paulo Vitor;5;283;Cruzeiro
99815;Arias;4;266;Fluminense
99818;Paulinho;5;282;Atlético-M
99889;Alan Franco;3;276;São Paul
100034;Maurício Antôn;3;294;Coritiba
100079;Zaracho;4;282;Atlético-M
100084;Igor Gomes;4;282;Atlético-M
100085;Pedro Augusto;4;356;Fortaleza
100103;Pedrinho;5;327;América-M
100333;Paulinho Bói;5;327;América-M
100453;Luis Segovia;3;263;Botafogo
100652;Yuri Alberto;5;264;Corinthians
100761;Liziero;4;294;Coritiba
100848;Luan Cândid;2;280;Bragantino
100969;Ronald Lopes;4;1371;Cuiab�
100987;Nonato;4;277;Santos
101002;Júnior Santo;5;263;Botafogo
101027;Diego;4;290;Goiá
101201;Vitor Jacar�;5;265;Bahia
101290;Ferreira;5;284;Grêmi
101314;Ademir;5;265;Bahia
101319;Guga;2;266;Fluminense
101405;Wallisson;4;283;Cruzeiro
101573;Pep�;4;284;Grêmi
101579;Robson Bambu;3;267;Vasco
101594;Hugo Moura;4;293;Athletico-PR
101600;Alex;3;277;Santos
101684;Philippe Costa;5;290;Goiá
101708;Felipe Jonatan;2;277;Santos
101715;Alerrandro;5;280;Bragantino
101720;Miranda;3;267;Vasco
101727;Matheuzinho;2;262;Flamengo
101728;Diego Costa;3;276;São Paul
101960;Vitinho;5;280;Bragantino
101995;Bríte;3;356;Fortaleza
102096;Anderson Oliveira;5;290;Goiá
102130;Piquerez;2;275;Palmeiras
102137;Vitor Eudes;1;266;Fluminense
102253;Lucas Halter;3;290;Goiá
102290;Gabriel Mesquita;1;283;Cruzeiro
102299;Mikael;5;327;América-M
102302;Rafael Elias;5;283;Cruzeiro
102310;Matheus Felipe;3;293;Athletico-PR
102318;Caio Paulista;2;276;São Paul
102340;Cac�;3;293;Athletico-PR
102561;Mastriani;5;327;América-M
102598;Helinho;5;280;Bragantino
102906;Anderson;1;283;Cruzeiro
102907;Matheus Teixeira;1;265;Bahia
102909;Luan;4;276;São Paul
102911;Zé Ricard;4;290;Goiá
102928;Canobbio;5;293;Athletico-PR
102975;Escobar;2;356;Fortaleza
103014;Laquintana;5;280;Bragantino
103295;Eric Ramires;4;280;Bragantino
103347;Matheus Alexandre;2;1371;Cuiab�
103388;Emmanuel Martíne;4;327;América-M
103575;Caetano;3;264;Corinthians
103576;Rafael Bilu;5;283;Cruzeiro
103645;Marcos Paulo;5;276;São Paul
103684;Kaíque Roch;3;293;Athletico-PR
103695;Jadsom Silva;4;280;Bragantino
103700;Bruno Ménde;3;264;Corinthians
103767;Gabriel Menino;4;275;Palmeiras
103987;Higor Meritã;4;290;Goiá
104017;Maycon;1;280;Bragantino
104079;João Fernand;1;263;Botafogo
104084;Carlos Miguel;1;264;Corinthians
104085;Bruno Fuchs;3;282;Atlético-M
104153;Ruan;4;264;Corinthians
104257;João Luca;2;277;Santos
104360;Lucas Rafael;3;280;Bragantino
104383;Matheus Mendes;1;282;Atlético-M
104385;Igor Gomes;3;285;Internacional
104401;Vitor Mendes;3;266;Fluminense
104420;Reinaldo;5;293;Athletico-PR
104424;Felipe Scheibig;1;284;Grêmi
104502;Christian;4;293;Athletico-PR
104504;Henrique Vermudt;3;263;Botafogo
104521;Vinícius Zanocel;4;356;Fortaleza
104580;Sandry;4;277;Santos
104588;Fabríci;1;280;Bragantino
104640;Matheus Bianqui;4;294;Coritiba
104754;Juan Vojvoda;6;356;Fortaleza
104783;Acevedo;4;265;Bahia
104811;Sebastián Góm;4;294;Coritiba
104991;Igo Gabriel;1;263;Botafogo
105047;João Marcel;3;283;Cruzeiro
105049;Luis Henrique;5;263;Botafogo
105175;Khellven;2;293;Athletico-PR
105208;Bento;1;293;Athletico-PR
105294;De Lucca;4;267;Vasco
105300;Ferraresi;3;276;São Paul
105373;Gabriel Xavier;3;265;Bahia
105531;Matheus Bidu;2;264;Corinthians
105547;Rikelme;5;1371;Cuiab�
105566;Riquelme;2;267;Vasco
105568;Lucero;5;356;Fortaleza
105584;Lucas Piton;2;267;Vasco
105585;Roni;4;264;Corinthians
105631;Bruno Lage;6;263;Botafogo
105647;Mauríci;4;285;Internacional
105672;Nicolás Hernánd;3;285;Internacional
105811;Wesley;5;283;Cruzeiro
105842;Edu;3;290;Goiá
105845;Matheus Araúj;4;264;Corinthians
105902;Zé Gabrie;4;267;Vasco
105909;Vinicius Mingotti;5;265;Bahia
105911;Rômul;4;285;Internacional
105914;Cadu Silva;2;277;Santos
105949;Rochet;1;285;Internacional
105998;Viníciu;5;267;Vasco
106000;Lucas Ramos;4;285;Internacional
106002;Johnny;4;285;Internacional
106160;Lucã;1;280;Bragantino
106199;Gabriel Pec;5;267;Vasco
106201;Figueiredo;4;267;Vasco
106202;Bruno Gomes;4;294;Coritiba
106219;Kawan;4;293;Athletico-PR
106299;Realpe;3;280;Bragantino
106323;Caio Alexandre;4;356;Fortaleza
106327;Wesley Gasolina;2;283;Cruzeiro
106371;Jhonata Robert;4;284;Grêmi
106434;Eduardo Santos;3;280;Bragantino
106682;Halls;1;267;Vasco
106704;Carlos Alberto;5;263;Botafogo
106822;Rodrigo Nestor;4;276;São Paul
106824;Welington;2;276;São Paul
106829;Patryck;2;276;São Paul
106830;Talles Costa;4;276;São Paul
106831;Juan;5;276;São Paul
106832;Pedro Vilhena;4;276;São Paul
106835;Luan Patrick;3;280;Bragantino
106950;Fernando;2;293;Athletico-PR
106977;Bernardo Schappo;3;356;Fortaleza
107039;Ricardo Cerqueira;4;1371;Cuiab�
107052;Stêni;5;283;Cruzeiro
107111;Richard Río;4;275;Palmeiras
107172;Patrick de Paula;4;263;Botafogo
107173;Michel Araúj;4;276;São Paul
107179;Matheus Donelli;1;264;Corinthians
107183;Léo Linc;1;293;Athletico-PR
107186;Vinicius Kau�;2;293;Athletico-PR
107191;Leonardo Ataíd;2;293;Athletico-PR
107197;Rômul;5;293;Athletico-PR
107225;Gustavo Garcia;2;275;Palmeiras
107232;Miqueias;4;265;Bahia
107236;Vanderlan;2;275;Palmeiras
107375;Dod�;4;290;Goiá
107416;Luan Dias;4;277;Santos
107498;Andr�;4;266;Fluminense
107554;Natanael;2;294;Coritiba
107645;Fabián Busto;6;327;América-M
107740;Emerson Júnio;1;285;Internacional
107744;Praxedes;4;267;Vasco
107748;Adriel;1;265;Bahia
107796;Diego Rosa;4;265;Bahia
107800;Fernando Henrique;4;283;Cruzeiro
107801;Nat�;3;284;Grêmi
107809;Matheus Dias;4;285;Internacional
107908;Hugo;2;290;Goiá
107950;Fausto Vera;4;264;Corinthians
108131;Garcez;5;294;Coritiba
108133;Isidro Pitta;5;1371;Cuiab�
108163;Javier Ménde;4;327;América-M
108201;Gustavinho;4;284;Grêmi
108211;Breno;5;290;Goiá
108352;Gabriel Barros;5;285;Internacional
108422;Erison;5;276;São Paul
108528;Galarza;4;267;Vasco
108624;Arriagada;5;293;Athletico-PR
108715;João Magn;5;290;Goiá
