atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
102290,283,1,6,Gabriel Mesquita,19,0,0.7,0.0,1.32,-1.0,0.0
91971,293,6,7,Wesley Carvalho,19,8,11.15,0.0,3.48,5.66,0.0
43618,282,6,7,Luiz Felipe Scolari,19,9,10.36,0.26,6.15,4.47,7.46
92855,283,2,7,Palacios,19,4,3.26,-1.12,-0.66,2.35,-1.4
69138,293,5,2,Pablo,19,12,12.03,0.0,9.24,5.47,0.0
125470,294,6,7,Thiago Kosloski,19,7,9.62,0.14,2.88,5.46,3.09
124918,264,3,6,Renato,19,0,1.0,0.0,1.5,0.0,0.0
124917,327,4,6,Rafa Barcelos,19,0,1.0,0.0,1.5,0.0,0.0
63024,294,4,6,Fransérgio,19,6,4.37,0.1,2.01,1.82,2.1
125050,283,5,6,Robert,19,2,1.1,0.0,2.02,0.85,0.0
114497,1371,2,6,Juan Tavares,19,0,1.0,0.0,1.5,0.0,0.0
118709,1371,4,6,Calebe,19,0,1.0,0.0,1.5,0.0,0.0
122378,267,3,6,Lyncon,19,0,1.0,0.0,1.5,0.0,0.0
82627,262,5,6,Luiz Araújo,19,5,5.16,-0.07,2.14,1.26,2.3
99552,262,1,6,Rossi,19,0,7.0,0.0,2.13,0.0,0.0
125487,264,4,7,Gabriel Moscardo,19,3,2.79,0.38,3.51,3.13,4.1
102975,356,2,6,Escobar,19,1,4.59,0.0,2.96,7.4,0.0
125467,284,3,6,Viery,19,0,1.0,0.0,1.5,0.0,0.0
72134,284,5,6,Iturbe,19,1,4.81,0.0,2.15,1.7,0.0
125469,282,5,6,Alisson,19,3,0.72,0.0,0.53,-0.47,0.0
125471,267,5,6,Serginho,19,2,2.93,0.0,0.86,0.95,0.0
102096,290,5,6,Anderson Oliveira,19,6,3.91,0.04,2.79,2.38,3.1
87391,290,5,7,Allano,19,5,4.5,0.81,5.05,2.98,6.1
83817,1371,5,7,Clayson,19,5,7.69,0.0,8.14,4.92,0.0
118843,263,4,6,Jacob Montes,19,0,3.0,0.0,1.71,0.0,0.0
122396,264,4,6,Ryan,19,0,1.0,0.0,1.5,0.0,0.0
105914,277,2,6,Cadu Silva,19,1,0.71,0.0,1.47,0.0,0.0
121752,1371,5,6,Pablo,19,0,1.0,0.0,1.5,0.0,0.0
108715,290,5,7,João Magno,19,6,5.05,0.0,1.22,2.98,1.0
39656,282,4,6,Alan Franco,19,4,3.5,0.28,1.74,0.73,1.8
125551,294,4,6,Jean Gabriel,19,0,1.0,0.0,1.5,0.0,0.0
99588,283,5,6,Paulo Vitor,19,4,2.28,0.0,1.88,0.85,0.0
90634,1371,4,6,Lucas Mineiro,19,3,2.87,0.0,0.04,0.77,0.0
103987,290,4,6,Higor Meritão,19,3,1.17,0.03,0.36,-0.2,0.0
111017,266,4,6,Leo Fernández,19,5,3.28,0.17,1.28,0.4,1.2
80313,265,2,7,Gilberto,19,4,7.68,-0.23,1.78,4.68,1.7
90120,294,5,6,Edu,19,3,3.97,0.0,3.36,0.93,0.0
97080,266,5,6,Yony González,19,3,3.66,-0.36,1.07,1.17,0.9
97908,290,4,6,Luís Oyama,19,2,5.19,0.0,3.7,2.25,0.0
69355,267,4,7,Medel,19,4,5.2,0.36,2.54,2.2,2.8
95878,356,3,6,Tobias Figueiredo,19,1,3.68,0.0,1.81,0.2,0.0
107191,293,2,6,Leonardo Ataíde,19,0,1.0,0.0,1.5,0.0,0.0
116000,263,2,6,Wallison,19,0,1.0,0.0,1.5,0.0,0.0
80538,266,3,6,Marlon,19,3,5.35,0.2,1.45,1.47,1.4
94007,264,4,6,Matías Rojas,19,2,4.98,-0.95,0.37,0.25,0.0
123648,294,5,6,Lucas Ronier,19,0,1.0,0.0,1.5,0.0,0.0
115273,293,5,6,Emersonn,19,0,1.0,0.0,1.5,0.0,0.0
125746,293,4,6,Dudu,19,0,1.0,0.0,1.5,0.0,0.0
105631,263,6,7,Bruno Lage,19,5,13.87,0.52,5.66,6.6,6.72
105949,285,1,7,Rochet,19,4,7.03,1.01,3.85,3.25,4.5
125803,294,1,6,Pedro Morisco,19,0,1.0,0.0,1.5,0.0,0.0
100085,356,4,6,Pedro Augusto,19,2,2.62,-1.05,-0.28,2.4,-0.9
