temporada_id;rodada_id;clube_id;partida_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2016;25;285;2016_25_285;Internacional;0;1;3;5;0;0;1
2016;26;264;2016_26_264;Corinthians;0;2;2;4;1;0;1
2016;26;262;2016_26_262;Flamengo;2;0;2;3;0;1;1
2016;26;283;2016_26_283;Cruzeiro;1;1;1;2;1;0;1
2016;26;292;2016_26_292;Sport;0;1;0;1;0;0;1
2016;26;284;2016_26_284;Grêmio;0;1;4;3;0;0;1
2016;26;315;2016_26_315;Chapecoense;2;2;2;0;0;0;1
2016;26;293;2016_26_293;Athletico-PR;1;0;1;1;0;0;1
2016;26;277;2016_26_277;Santos;3;2;1;1;0;0;1
2016;26;287;2016_26_287;Vitória;0;1;2;5;0;0;1
2016;26;327;2016_26_327;América-MG;1;0;1;2;0;0;1
2016;27;275;2016_27_275;Palmeiras;2;1;2;3;0;0;1
2016;27;292;2016_27_292;Sport;1;0;3;2;0;1;1
2016;27;327;2016_27_327;América-MG;1;0;2;3;0;0;1
2016;27;293;2016_27_293;Athletico-PR;3;0;2;5;0;1;1
2016;27;316;2016_27_316;Figueirense;3;1;1;5;0;0;1
2016;27;287;2016_27_287;Vitória;2;0;4;3;0;0;1
2016;27;264;2016_27_264;Corinthians;0;1;4;3;0;0;1
2016;27;262;2016_27_262;Flamengo;2;1;1;2;0;0;1
2016;27;284;2016_27_284;Grêmio;1;0;2;2;0;0;1
2016;27;282;2016_27_282;Atlético-MG;3;1;2;2;0;0;1
2016;28;266;2016_28_266;Fluminense;3;1;1;3;0;0;1
2016;28;276;2016_28_276;São Paulo;0;0;4;3;0;0;1
2016;28;315;2016_28_315;Chapecoense;1;4;1;2;0;0;1
2016;28;277;2016_28_277;Santos;2;0;2;1;0;0;1
2016;28;263;2016_28_263;Botafogo;2;0;4;4;0;0;1
2016;28;303;2016_28_303;Ponte Preta;1;2;2;2;0;0;1
2016;28;283;2016_28_283;Cruzeiro;1;0;3;3;0;0;1
2016;28;285;2016_28_285;Internacional;1;0;2;2;0;0;1
2016;28;344;2016_28_344;Santa Cruz;2;3;6;3;0;0;1
2016;28;294;2016_28_294;Coritiba;3;0;2;2;0;0;1
2016;29;293;2016_29_293;Athletico-PR;3;1;2;3;0;0;1
2016;29;287;2016_29_287;Vitória;0;1;3;3;0;0;1
2016;29;264;2016_29_264;Corinthians;0;0;0;2;0;1;1
2016;29;277;2016_29_277;Santos;2;1;0;0;0;0;1
2016;29;292;2016_29_292;Sport;1;1;0;2;0;0;1
2016;29;285;2016_29_285;Internacional;1;0;2;4;0;0;1
2016;29;283;2016_29_283;Cruzeiro;2;0;2;2;0;0;1
2016;29;262;2016_29_262;Flamengo;3;0;1;1;0;1;1
2016;29;327;2016_29_327;América-MG;0;2;2;1;1;0;1
2016;29;316;2016_29_316;Figueirense;0;1;2;2;0;0;1
2016;30;315;2016_30_315;Chapecoense;3;0;1;2;0;1;1
2016;30;294;2016_30_294;Coritiba;0;0;4;3;0;0;1
2016;30;344;2016_30_344;Santa Cruz;2;4;2;2;0;0;1
2016;30;263;2016_30_263;Botafogo;1;0;3;2;0;0;1
2016;30;275;2016_30_275;Palmeiras;0;0;1;4;0;0;1
2016;30;303;2016_30_303;Ponte Preta;2;0;4;2;0;0;1
2016;30;282;2016_30_282;Atlético-MG;3;0;0;0;0;0;1
