temporada_id;rodada_id;clube_mand_id;partida_id;clube_mand;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2015;11;262;2015_11_262;Flamengo;1;2;3;2;0;0;1
2015;11;285;2015_11_285;Internacional;1;3;1;3;1;0;1
2015;12;315;2015_12_315;Chapecoense;1;0;1;2;0;0;1
2015;12;290;2015_12_290;Goiás;4;1;0;3;0;0;1
2015;12;294;2015_12_294;Coritiba;0;0;4;6;0;0;1
2015;12;316;2015_12_316;Figueirense;0;2;1;2;0;0;1
2015;12;275;2015_12_275;Palmeiras;3;0;2;6;0;0;1
2015;12;282;2015_12_282;Atlético-MG;2;1;2;2;0;0;1
2015;12;285;2015_12_285;Internacional;1;2;3;2;0;0;1
2015;12;267;2015_12_267;Vasco;0;4;3;0;0;0;1
2015;12;264;2015_12_264;Corinthians;2;0;1;2;0;0;1
2015;12;266;2015_12_266;Fluminense;1;0;2;2;0;0;1
2015;13;277;2015_13_277;Santos;3;0;1;5;0;0;1
2015;13;284;2015_13_284;Grêmio;2;0;1;3;0;0;1
2015;13;303;2015_13_303;Ponte Preta;0;2;1;3;0;0;1
2015;13;276;2015_13_276;São Paulo;3;1;1;3;0;0;1
2015;13;317;2015_13_317;Joinville;0;2;4;3;0;0;1
2015;13;262;2015_13_262;Flamengo;0;3;0;2;0;0;1
2015;13;293;2015_13_293;Athletico-PR;1;2;1;2;0;0;1
2015;13;283;2015_13_283;Cruzeiro;1;0;2;1;0;0;1
2015;13;292;2015_13_292;Sport;2;2;2;1;0;0;1
2015;13;314;2015_13_314;Avaí;2;1;4;2;0;0;1
2015;14;285;2015_14_285;Internacional;2;1;1;1;0;0;1
2015;14;262;2015_14_262;Flamengo;1;0;1;5;0;0;1
2015;14;264;2015_14_264;Corinthians;1;0;1;1;0;0;1
2015;14;293;2015_14_293;Athletico-PR;1;0;2;3;0;0;1
2015;14;316;2015_14_316;Figueirense;0;0;1;2;0;0;1
2015;14;292;2015_14_292;Sport;2;0;1;2;0;2;1
2015;14;266;2015_14_266;Fluminense;1;2;2;6;0;0;1
2015;14;275;2015_14_275;Palmeiras;1;0;3;3;0;0;1
2015;14;283;2015_14_283;Cruzeiro;1;1;1;3;0;0;1
2015;14;317;2015_14_317;Joinville;1;1;2;5;0;0;1
2015;15;314;2015_15_314;Avaí;1;2;3;3;0;0;1
2015;15;284;2015_15_284;Grêmio;1;1;0;0;0;0;1
2015;15;282;2015_15_282;Atlético-MG;1;0;2;4;0;0;1
2015;15;315;2015_15_315;Chapecoense;2;1;2;3;0;1;1
2015;15;277;2015_15_277;Santos;2;0;2;2;0;0;1
2015;15;303;2015_15_303;Ponte Preta;0;0;2;2;0;0;1
2015;15;294;2015_15_294;Coritiba;1;1;3;3;0;0;1
2015;15;276;2015_15_276;São Paulo;1;0;0;1;0;0;1
2015;15;290;2015_15_290;Goiás;0;1;2;1;0;0;1
2015;15;267;2015_15_267;Vasco;1;4;3;1;0;0;1
2015;16;264;2015_16_264;Corinthians;3;0;0;3;0;0;1
2015;16;282;2015_16_282;Atlético-MG;3;1;0;1;0;0;1
2015;16;266;2015_16_266;Fluminense;1;0;3;2;0;1;1
2015;16;294;2015_16_294;Coritiba;1;1;4;4;0;0;1
2015;16;275;2015_16_275;Palmeiras;0;1;1;2;0;0;1
