temporada_id;rodada_id;rodada_id;clube_id;clube_nome;clube_vis;clube_mand_gol;clube_vis_gol;clube_mand_ca;clube_vis_ca;clube_mand_cv;clube_vis_cv
2018;15;2018_15_263;263;Botafogo;1;0;2;3;0;0;1
2018;15;2018_15_287;287;Vitória;1;0;2;2;0;0;1
2018;15;2018_15_284;284;Grêmio;2;1;4;5;0;0;1
2018;15;2018_15_327;327;América-MG;2;1;2;2;1;1;1
2018;15;2018_15_366;366;Ceará;0;2;3;4;0;0;1
2018;15;2018_15_293;293;Athletico-PR;1;0;1;2;0;0;1
2018;16;2018_16_366;366;Ceará;1;0;5;1;0;0;1
2018;16;2018_16_275;275;Palmeiras;3;0;2;2;0;0;1
2018;16;2018_16_267;267;Vasco;1;4;4;0;0;0;1
2018;16;2018_16_262;262;Flamengo;4;1;1;1;0;0;1
2018;16;2018_16_293;293;Athletico-PR;4;0;3;5;0;0;1
2018;16;2018_16_285;285;Internacional;3;0;1;2;0;0;1
2018;16;2018_16_283;283;Cruzeiro;0;2;2;1;0;0;1
2018;16;2018_16_277;277;Santos;0;1;2;2;0;0;1
2018;16;2018_16_315;315;Chapecoense;1;1;1;3;0;0;1
2018;16;2018_16_265;265;Bahia;2;2;4;2;0;0;1
2018;17;2018_17_263;263;Botafogo;0;0;1;5;0;0;1
2018;17;2018_17_284;284;Grêmio;2;0;3;4;0;0;1
2018;17;2018_17_264;264;Corinthians;0;0;2;2;0;0;1
2018;17;2018_17_287;287;Vitória;1;1;3;5;0;0;1
2018;17;2018_17_383;383;Paraná;0;1;4;2;0;0;1
2018;17;2018_17_327;327;América-MG;0;0;1;2;0;0;1
2018;17;2018_17_276;276;São Paulo;2;1;2;2;0;0;1
2018;17;2018_17_266;266;Fluminense;1;1;4;2;0;0;1
2018;17;2018_17_292;292;Sport;1;1;1;1;0;0;1
2018;17;2018_17_282;282;Atlético-MG;0;1;1;1;0;0;1
2018;20;2018_20_366;366;Ceará;1;1;3;2;0;0;1
2018;20;2018_20_265;265;Bahia;0;1;1;2;0;0;1
2018;20;2018_20_383;383;Paraná;1;1;3;1;0;0;1
2018;20;2018_20_275;275;Palmeiras;2;0;2;5;0;1;1
2018;20;2018_20_292;292;Sport;0;2;2;2;0;0;1
2018;20;2018_20_266;266;Fluminense;1;0;1;2;0;1;1
2018;20;2018_20_284;284;Grêmio;1;1;2;4;0;0;1
2018;20;2018_20_262;262;Flamengo;1;0;2;2;0;0;1
2018;20;2018_20_282;282;Atlético-MG;0;0;2;4;0;0;1
2018;20;2018_20_315;315;Chapecoense;2;1;1;3;0;0;1
2018;18;2018_18_366;366;Ceará;0;0;3;3;0;0;1
2018;18;2018_18_265;265;Bahia;1;0;1;4;0;0;1
2018;18;2018_18_383;383;Paraná;1;1;3;4;1;1;1
2018;18;2018_18_282;282;Atlético-MG;3;1;2;0;0;0;1
2018;18;2018_18_292;292;Sport;1;3;1;3;0;0;1
2018;18;2018_18_262;262;Flamengo;1;0;3;3;0;0;1
2018;18;2018_18_315;315;Chapecoense;2;1;1;2;1;0;1
2018;18;2018_18_284;284;Grêmio;4;0;1;3;0;0;1
2018;18;2018_18_275;275;Palmeiras;1;0;1;2;0;0;1
2018;18;2018_18_266;266;Fluminense;0;3;3;3;0;0;1
2018;19;2018_19_277;277;Santos;3;0;3;3;0;1;1
2018;19;2018_19_264;264;Corinthians;0;1;1;1;0;0;1
2018;19;2018_19_293;293;Athletico-PR;3;0;3;1;0;0;1
2018;19;2018_19_285;285;Internacional;1;0;3;5;0;0;1
2018;19;2018_19_287;287;Vitória;0;3;2;1;0;0;1
2018;19;2018_19_263;263;Botafogo;0;3;2;4;0;0;1
