temporada_id;rodada_id;partida_id;clube_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2022;16;2022_16_282;282;Atlético-MG;0;0;1;1;0;0;1
2022;16;2022_16_1371;1371;Cuiabá;2;0;1;2;0;2;1
2022;16;2022_16_285;285;Internacional;1;0;0;5;0;0;1
2022;17;2022_17_293;293;Athletico-PR;0;0;1;2;0;0;1
2022;17;2022_17_262;262;Flamengo;2;0;0;1;0;0;1
2022;17;2022_17_314;314;Avaí;1;0;5;3;0;0;1
2022;17;2022_17_366;366;Ceará;3;1;1;1;0;0;1
2022;17;2022_17_286;286;Juventude;0;0;2;3;0;0;1
2022;17;2022_17_276;276;São Paulo;2;2;4;2;0;0;1
2022;17;2022_17_263;263;Botafogo;0;1;4;3;0;0;1
2022;17;2022_17_373;373;Atlético-GO;0;1;1;0;0;0;1
2022;17;2022_17_327;327;América-MG;0;3;3;1;0;0;1
2022;17;2022_17_275;275;Palmeiras;1;0;3;1;0;0;1
2022;18;2022_18_366;366;Ceará;1;0;0;2;0;0;1
2022;18;2022_18_280;280;Bragantino;2;1;4;3;0;0;1
2022;18;2022_18_290;290;Goiás;2;3;2;0;0;0;1
2022;18;2022_18_293;293;Athletico-PR;4;1;3;0;0;0;1
2022;18;2022_18_262;262;Flamengo;4;0;3;3;0;1;1
2022;18;2022_18_285;285;Internacional;3;3;4;5;0;0;1
2022;18;2022_18_277;277;Santos;2;0;2;2;0;0;1
2022;18;2022_18_264;264;Corinthians;3;1;1;3;0;0;1
2022;18;2022_18_1371;1371;Cuiabá;1;1;1;1;0;0;1
2022;18;2022_18_327;327;América-MG;0;1;5;3;0;0;1
2022;19;2022_19_276;276;São Paulo;3;3;2;5;0;0;1
2022;19;2022_19_263;263;Botafogo;2;0;0;2;0;0;1
2022;19;2022_19_314;314;Avaí;1;2;1;1;0;0;1
2022;19;2022_19_266;266;Fluminense;2;1;5;2;1;0;1
2022;19;2022_19_275;275;Palmeiras;2;1;0;1;0;0;1
2022;19;2022_19_286;286;Juventude;1;0;1;3;0;0;1
2022;19;2022_19_282;282;Atlético-MG;1;2;2;1;0;0;1
2022;19;2022_19_373;373;Atlético-GO;0;1;0;1;0;0;1
2022;19;2022_19_356;356;Fortaleza;0;0;4;4;0;0;1
2022;19;2022_19_294;294;Coritiba;1;0;5;3;1;0;1
2022;20;2022_20_290;290;Goiás;1;0;1;2;0;1;1
2022;20;2022_20_366;366;Ceará;1;2;3;3;1;0;1
2022;20;2022_20_264;264;Corinthians;1;0;0;0;0;0;1
2022;20;2022_20_262;262;Flamengo;4;1;0;7;0;1;1
2022;20;2022_20_293;293;Athletico-PR;1;0;3;4;0;0;1
2022;20;2022_20_285;285;Internacional;3;0;1;1;0;0;1
2022;20;2022_20_1371;1371;Cuiabá;0;1;2;4;0;0;1
2022;20;2022_20_327;327;América-MG;3;1;1;0;0;0;1
2022;20;2022_20_280;280;Bragantino;1;0;1;1;0;0;1
2022;20;2022_20_277;277;Santos;2;2;2;5;0;0;1
2022;21;2022_21_286;286;Juventude;0;1;1;2;0;0;1
2022;21;2022_21_263;263;Botafogo;1;1;3;4;0;0;1
2022;21;2022_21_314;314;Avaí;1;1;2;1;0;0;1
2022;21;2022_21_373;373;Atlético-GO;2;1;2;1;0;0;1
2022;21;2022_21_276;276;São Paulo;0;2;2;2;0;0;1
2022;21;2022_21_266;266;Fluminense;1;0;2;1;0;0;1
2022;21;2022_21_275;275;Palmeiras;3;0;2;3;0;0;1
2022;21;2022_21_356;356;Fortaleza;3;0;1;5;1;0;1
2022;21;2022_21_282;282;Atlético-MG;2;3;1;2;0;0;1
2022;21;2022_21_294;294;Coritiba;1;2;3;3;0;0;1
2022;22;2022_22_290;290;Goiás;1;1;1;2;1;0;1
2022;22;2022_22_264;264;Corinthians;0;1;2;2;0;0;1
2022;22;2022_22_1371;1371;Cuiabá;1;0;4;5;0;1;1
2022;22;2022_22_263;263;Botafogo;0;0;1;3;1;0;1
2022;22;2022_22_294;294;Coritiba;0;1;3;0;0;0;1
2022;22;2022_22_366;366;Ceará;0;1;3;4;0;0;1
2022;22;2022_22_262;262;Flamengo;5;0;3;2;0;0;1
2022;22;2022_22_276;276;São Paulo;3;0;1;0;0;0;1
2022;22;2022_22_327;327;América-MG;1;0;1;0;0;0;1
2022;22;2022_22_285;285;Internacional;3;0;1;1;0;0;1
2022;23;2022_23_282;282;Atlético-MG;0;1;0;0;0;0;1
2022;23;2022_23_266;266;Fluminense;5;2;1;2;0;0;1
2022;23;2022_23_286;286;Juventude;2;2;2;2;0;0;1
2022;23;2022_23_275;275;Palmeiras;1;1;0;2;0;0;1
2022;23;2022_23_293;293;Athletico-PR;1;1;0;0;0;0;1
2022;23;2022_23_373;373;Atlético-GO;1;1;2;2;1;0;1
2022;23;2022_23_356;356;Fortaleza;1;0;1;2;0;0;1
2022;23;2022_23_280;280;Bragantino;1;1;3;4;0;0;1
2022;23;2022_23_277;277;Santos;1;0;4;2;0;0;1
2022;23;2022_23_314;314;Avaí;0;1;5;1;0;0;1
2022;24;2022_24_290;290;Goiás;2;1;2;2;1;1;1
2022;24;2022_24_294;294;Coritiba;1;0;4;3;0;0;1
2022;24;2022_24_266;266;Fluminense;1;1;3;3;0;0;1
2022;24;2022_24_366;366;Ceará;0;0;0;1;0;0;1
2022;24;2022_24_276;276;São Paulo;0;1;2;2;0;0;1
2022;24;2022_24_327;327;América-MG;1;1;4;4;0;0;1
2022;24;2022_24_263;263;Botafogo;0;1;3;2;0;0;1
2022;24;2022_24_1371;1371;Cuiabá;0;0;0;0;0;0;1
2022;24;2022_24_285;285;Internacional;4;0;0;3;0;0;1
2022;24;2022_24_264;264;Corinthians;1;0;1;1;0;0;1
2022;25;2022_25_286;286;Juventude;1;1;6;6;0;0;1
2022;25;2022_25_280;280;Bragantino;2;2;4;4;0;0;1
2022;25;2022_25_293;293;Athletico-PR;1;0;2;0;0;0;1
2022;25;2022_25_327;327;América-MG;2;0;2;3;0;0;1
2022;25;2022_25_262;262;Flamengo;1;1;4;6;1;1;1
2022;25;2022_25_264;264;Corinthians;2;2;2;2;0;0;1
2022;25;2022_25_356;356;Fortaleza;1;3;1;2;0;0;1
2022;25;2022_25_373;373;Atlético-GO;0;2;1;2;0;0;1
2022;25;2022_25_1371;1371;Cuiabá;1;1;3;2;0;1;1
2022;25;2022_25_277;277;Santos;1;2;1;2;0;0;1
2022;26;2022_26_282;282;Atlético-MG;1;1;1;2;0;0;1
2022;26;2022_26_285;285;Internacional;1;0;1;3;0;0;1
2022;26;2022_26_366;366;Ceará;2;1;4;3;0;0;1
2022;26;2022_26_266;266;Fluminense;2;1;1;2;0;0;1
2022;26;2022_26_275;275;Palmeiras;2;1;0;3;0;0;1
2022;26;2022_26_314;314;Avaí;1;1;3;4;0;1;1
2022;26;2022_26_263;263;Botafogo;0;0;1;5;0;0;1
2022;26;2022_26_276;276;São Paulo;1;1;3;1;0;0;1
2022;26;2022_26_294;294;Coritiba;2;0;6;3;0;1;1
2022;26;2022_26_290;290;Goiás;1;1;3;1;0;0;1
2022;27;2022_27_314;314;Avaí;1;0;4;3;0;0;1
2022;27;2022_27_263;263;Botafogo;2;0;2;4;0;0;1
2022;27;2022_27_280;280;Bragantino;1;1;0;5;0;0;1
2022;27;2022_27_262;262;Flamengo;1;2;1;5;2;3;1
2022;27;2022_27_366;366;Ceará;0;2;5;2;2;0;1
2022;27;2022_27_327;327;América-MG;1;0;1;3;0;0;1
2022;27;2022_27_286;286;Juventude;1;1;2;3;0;0;1
2022;27;2022_27_275;275;Palmeiras;1;0;3;4;1;0;1
2022;27;2022_27_293;293;Athletico-PR;2;2;3;2;0;1;1
2022;27;2022_27_373;373;Atlético-GO;1;2;3;2;0;0;1
2022;28;2022_28_276;276;São Paulo;4;0;2;4;0;0;1
2022;28;2022_28_277;277;Santos;2;0;3;3;0;0;1
2022;28;2022_28_294;294;Coritiba;1;0;2;4;0;0;1
2022;28;2022_28_264;264;Corinthians;2;1;0;3;0;0;1
2022;28;2022_28_266;266;Fluminense;4;0;1;1;0;0;1
2022;28;2022_28_356;356;Fortaleza;3;2;2;5;0;0;1
2022;28;2022_28_1371;1371;Cuiabá;2;1;1;6;0;0;1
2022;28;2022_28_285;285;Internacional;0;0;1;2;0;0;1
2022;28;2022_28_282;282;Atlético-MG;0;1;3;3;0;0;1
2022;28;2022_28_290;290;Goiás;0;1;4;4;0;0;1
2022;29;2022_29_282;282;Atlético-MG;2;0;2;3;0;1;1
2022;29;2022_29_285;285;Internacional;1;0;1;4;0;0;1
2022;29;2022_29_366;366;Ceará;1;2;3;4;0;0;1
2022;29;2022_29_314;314;Avaí;1;2;2;4;0;0;1
2022;29;2022_29_293;293;Athletico-PR;2;0;3;5;0;0;1
2022;29;2022_29_262;262;Flamengo;4;1;1;0;0;1;1
2022;29;2022_29_290;290;Goiás;0;1;3;2;0;0;1
2022;29;2022_29_264;264;Corinthians;2;0;1;0;0;0;1
2022;29;2022_29_263;263;Botafogo;1;3;4;2;0;1;1
2022;29;2022_29_276;276;São Paulo;3;1;2;6;0;0;1
2022;30;2022_30_286;286;Juventude;2;2;1;2;0;0;1
2022;30;2022_30_373;373;Atlético-GO;3;2;4;0;0;0;1
2022;30;2022_30_366;366;Ceará;1;1;4;4;1;0;1
2022;30;2022_30_280;280;Bragantino;2;1;2;3;0;0;1
2022;30;2022_30_293;293;Athletico-PR;1;1;2;1;0;0;1
2022;30;2022_30_262;262;Flamengo;0;0;3;2;0;0;1
2022;30;2022_30_277;277;Santos;1;2;2;4;1;0;1
2022;30;2022_30_275;275;Palmeiras;4;0;1;2;0;0;1
2022;30;2022_30_327;327;América-MG;1;2;2;4;0;0;1
2022;30;2022_30_314;314;Avaí;1;2;2;4;0;0;1
2022;31;2022_31_1371;1371;Cuiabá;1;2;2;2;0;0;1
2022;31;2022_31_264;264;Corinthians;2;1;1;0;0;0;1
2022;31;2022_31_285;285;Internacional;4;2;1;7;0;0;1
2022;31;2022_31_276;276;São Paulo;0;1;3;2;1;0;1
2022;31;2022_31_356;356;Fortaleza;2;0;1;1;0;0;1
2022;31;2022_31_294;294;Coritiba;2;1;0;3;1;0;1
2022;31;2022_31_282;282;Atlético-MG;0;0;3;5;0;0;1
2022;31;2022_31_266;266;Fluminense;0;2;1;3;0;0;1
2022;31;2022_31_373;373;Atlético-GO;1;1;4;2;0;0;1
2022;31;2022_31_277;277;Santos;4;1;2;0;0;0;1
2022;32;2022_32_262;262;Flamengo;1;0;4;0;0;0;1
2022;32;2022_32_327;327;América-MG;1;2;1;3;0;1;1
2022;32;2022_32_366;366;Ceará;1;1;4;5;0;1;1
2022;32;2022_32_275;275;Palmeiras;0;0;3;3;0;2;1
2022;32;2022_32_286;286;Juventude;1;1;2;1;0;0;1
2022;32;2022_32_263;263;Botafogo;0;1;3;5;0;0;1
2022;32;2022_32_314;314;Avaí;0;3;2;0;0;0;1
2022;32;2022_32_293;293;Athletico-PR;1;0;3;2;0;0;1
2022;32;2022_32_280;280;Bragantino;0;2;3;4;1;0;1
2022;32;2022_32_290;290;Goiás;0;0;2;3;0;0;1
2022;33;2022_33_280;280;Bragantino;4;2;0;3;0;0;1
