temporada_id;rodada_id;clube_id;partida_id;atleta_id;posicao_id;status_id;atleta_preco;atleta_var;atleta_jogos;SC_G;SC_DP;SC_SG;SC_A;SC_FT;SC_FD;SC_DS;SC_PS;SC_DE;SC_V;SC_FF;SC_FS;SC_PP;SC_GC;SC_CV;SC_CA;SC_GS;SC_PC;SC_FC;SC_I;atleta_pt_acum;atleta_pt_med;clube_mand;clube_gol_pro;clube_gol_cont;clube_gol_marc;clube_gol_sof;clube_rod_pt;clube_pt;clube_saldo;clube_pos;clube_pt_5_rod;adv_gol_marc;adv_gol_sof;adv_rod_pt;adv_pt;adv_saldo;adv_pos;adv_pt_5_rod;atleta_pontos
2021;16;315;202116315;37424;6;7;4,81;-0,06;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;13;28;1;5;13;20;1;13;28;1;5;13;20;1;0
2021;17;315;202117315;37424;6;7;5,58;0,77;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;14;29;1;6;14;20;2;15;29;1;6;14;20;2;0
2021;18;315;202118315;37424;6;7;5,18;-0,4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;29;1;7;14;20;3;8;29;1;7;14;20;3;0
2021;19;315;202119315;37424;6;7;6,13;0,95;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;15;31;0;7;15;20;3;18;31;0;7;15;20;3;0
2021;20;315;202120315;37424;6;7;5,8;-0,33;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;17;32;3;10;17;20;6;31;32;3;10;17;20;6;0
2021;21;315;202121315;37424;6;7;6,67;0,87;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;17;34;0;10;17;20;5;34;34;0;10;17;20;5;0
2021;22;315;202122315;37424;6;7;6,11;-0,56;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;35;0;10;17;20;4;21;35;0;10;17;20;4;0
2021;23;315;202123315;37424;6;7;6,11;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;18;36;1;11;18;20;4;19;36;1;11;18;20;4;0
2021;24;315;202124315;37424;6;7;6,25;0,14;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;20;38;1;12;20;20;5;37;38;1;12;20;20;5;0
2021;25;315;202125315;37424;6;7;6,57;0,32;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;22;43;0;12;22;20;2;32;43;0;12;22;20;2;0
